"filename", "language", "JavaScript", "CSS", "JSON", "HTML", "SCSS", "JavaScript React", "Markdown", "XML", "comment", "blank", "total"
"d:\horizon\admin\src\views\pages\landing\TechnicalInfo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 240, 0, 0, 8, 39, 287
"d:\horizon\admin\src\views\pages\landing\WatchVideo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 194, 0, 0, 3, 32, 229
"d:\horizon\admin\src\views\pages\landing\_demo_lensdesigns2.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\horizon\admin\src\views\pages\login\Login.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 3, 79
"d:\horizon\admin\src\views\pages\page404\Page404.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\page500\Page500.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\register\Register.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 3, 81
"d:\horizon\admin\src\views\users\User.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\horizon\admin\src\views\users\Users.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"d:\horizon\admin\src\views\users\UsersData.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 16, 56
"d:\horizon\admin\src\views\widgets\Widgets.js", "JavaScript", 362, 0, 0, 0, 0, 0, 0, 0, 0, 9, 371
"d:\horizon\admin\src\views\widgets\WidgetsBrand.js", "JavaScript", 164, 0, 0, 0, 0, 0, 0, 0, 1, 13, 178
"d:\horizon\admin\src\views\widgets\WidgetsDropdown.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 1, 6, 147
"d:\horizon\admin\static.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 3, 0, 8
"d:\horizon\package-lock.json", "JSON", 0, 0, 488, 0, 0, 0, 0, 0, 0, 1, 489
"d:\horizon\package.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"d:\horizon\server\_data_sample\hero.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\ld1.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\ld2.data.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\horizon\server\_data_sample\li1.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\li2.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\news.data.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"d:\horizon\server\app.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 37, 10, 102
"d:\horizon\server\controllers\horizon.js", "JavaScript", 481, 0, 0, 0, 0, 0, 0, 0, 117, 100, 698
"d:\horizon\server\firebase\firebase.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\models\About.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\Blog.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 1, 2, 36
"d:\horizon\server\models\Gallery.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Mail.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Products.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\demo.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\models\horizon.js", "JavaScript", 283, 0, 0, 0, 0, 0, 0, 0, 67, 7, 357
"d:\horizon\server\package-lock.json", "JSON", 0, 0, 4777, 0, 0, 0, 0, 0, 0, 1, 4778
"d:\horizon\server\package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"d:\horizon\server\public\assets\css\_reusable\chrome_safari_anims.css", "CSS", 0, 52, 0, 0, 0, 0, 0, 0, 0, 16, 68
"d:\horizon\server\public\assets\css\about\about.css", "CSS", 0, 323, 0, 0, 0, 0, 0, 0, 22, 72, 417
"d:\horizon\server\public\assets\css\aos.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\server\public\assets\css\bifocal.css", "CSS", 0, 175, 0, 0, 0, 0, 0, 0, 3, 32, 210
"d:\horizon\server\public\assets\css\blur_cards.css", "CSS", 0, 174, 0, 0, 0, 0, 0, 0, 14, 46, 234
"d:\horizon\server\public\assets\css\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\public\assets\css\color-1.css", "CSS", 0, 100, 0, 0, 0, 0, 0, 0, 18, 14, 132
"d:\horizon\server\public\assets\css\contact.css", "CSS", 0, 260, 0, 0, 0, 0, 0, 0, 15, 58, 333
"d:\horizon\server\public\assets\css\contactUtil.css", "CSS", 0, 2824, 0, 0, 0, 0, 0, 0, 71, 89, 2984
"d:\horizon\server\public\assets\css\fontawesome-all.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"d:\horizon\server\public\assets\css\lenses.css", "CSS", 0, 324, 0, 0, 0, 0, 0, 0, 0, 65, 389
"d:\horizon\server\public\assets\css\linearicons.css", "CSS", 0, 526, 0, 0, 0, 0, 0, 0, 1, 4, 531
"d:\horizon\server\public\assets\css\lity.min.css", "CSS", 0, 195, 0, 0, 0, 0, 0, 0, 3, 21, 219
"d:\horizon\server\public\assets\css\main.css", "CSS", 0, 1660, 0, 0, 0, 0, 0, 0, 179, 377, 2216
"d:\horizon\server\public\assets\css\news.css", "CSS", 0, 283, 0, 0, 0, 0, 0, 0, 1, 49, 333
"d:\horizon\server\public\assets\css\single-vision.css", "CSS", 0, 496, 0, 0, 0, 0, 0, 0, 2, 76, 574
"d:\horizon\server\public\assets\css\slick-theme.css", "CSS", 0, 170, 0, 0, 0, 0, 0, 0, 4, 31, 205
"d:\horizon\server\public\assets\css\slick.css", "CSS", 0, 87, 0, 0, 0, 0, 0, 0, 1, 27, 115
"d:\horizon\server\public\assets\css\testimonials.css", "CSS", 0, 216, 0, 0, 0, 0, 0, 0, 1, 38, 255
"d:\horizon\server\public\assets\css\timeline.css", "CSS", 0, 235, 0, 0, 0, 0, 0, 0, 0, 37, 272
"d:\horizon\server\public\assets\img\circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 1, 2, 11
"d:\horizon\server\public\assets\js\about\about.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 10, 14, 69
"d:\horizon\server\public\assets\js\aos.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\server\public\assets\js\bifocal.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\horizon\server\public\assets\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\public\assets\js\contact.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 14, 54
"d:\horizon\server\public\assets\js\jquery-3.3.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\horizon\server\public\assets\js\jquery.counterup.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\server\public\assets\js\lity.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"d:\horizon\server\public\assets\js\main.js", "JavaScript", 191, 0, 0, 0, 0, 0, 0, 0, 25, 22, 238
"d:\horizon\server\public\assets\js\news.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"d:\horizon\server\public\assets\js\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\horizon\server\public\assets\js\single-vision.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"d:\horizon\server\public\assets\js\slick.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\horizon\server\public\assets\js\testimonials.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\horizon\server\public\assets\js\timeline.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"d:\horizon\server\public\assets\js\waypoints.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\routes\horizon.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 22, 21, 82
"d:\horizon\server\schema\schema.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 7, 47
"d:\horizon\server\views\about.ejs", "HTML", 0, 0, 0, 62, 0, 0, 0, 0, 6, 4, 72
"d:\horizon\server\views\blog.ejs", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 18, 9, 106
"d:\horizon\server\views\blogs.ejs", "HTML", 0, 0, 0, 32, 0, 0, 0, 0, 2, 4, 38
"d:\horizon\server\views\demo.ejs", "HTML", 0, 0, 0, 1334, 0, 0, 0, 0, 142, 25, 1501
"d:\horizon\server\views\free_form.ejs", "HTML", 0, 0, 0, 65, 0, 0, 0, 0, 18, 8, 91
"d:\horizon\server\views\index.ejs", "HTML", 0, 0, 0, 652, 0, 0, 0, 0, 96, 21, 769
"d:\horizon\server\views\news-single-test.ejs", "HTML", 0, 0, 0, 481, 0, 0, 0, 0, 47, 33, 561
"d:\horizon\server\views\news-single.html", "HTML", 0, 0, 0, 455, 0, 0, 0, 0, 59, 30, 544
"d:\horizon\server\views\news-with-sidebar-one-col-test.ejs", "HTML", 0, 0, 0, 454, 0, 0, 0, 0, 59, 31, 544
"d:\horizon\server\views\news-with-sidebar-one-col.html", "HTML", 0, 0, 0, 454, 0, 0, 0, 0, 59, 31, 544
"d:\horizon\server\views\news-with-sidebar-test.ejs", "HTML", 0, 0, 0, 454, 0, 0, 0, 0, 60, 32, 546
"d:\horizon\server\views\news-with-sidebar.html", "HTML", 0, 0, 0, 454, 0, 0, 0, 0, 60, 32, 546
"d:\horizon\server\views\news-without-sidebar-test.ejs", "HTML", 0, 0, 0, 365, 0, 0, 0, 0, 58, 28, 451
"d:\horizon\server\views\news-without-sidebar.html", "HTML", 0, 0, 0, 365, 0, 0, 0, 0, 58, 28, 451
"d:\horizon\server\views\partials\about_end.ejs", "HTML", 0, 0, 0, 15, 0, 0, 0, 0, 15, 9, 39
"d:\horizon\server\views\partials\about_head.ejs", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 13, 8, 41
"d:\horizon\server\views\partials\footer.ejs", "HTML", 0, 0, 0, 112, 0, 0, 0, 0, 2, 2, 116
"d:\horizon\server\views\partials\home_end.ejs", "HTML", 0, 0, 0, 21, 0, 0, 0, 0, 15, 10, 46
"d:\horizon\server\views\partials\home_head.ejs", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 21, 13, 72
"d:\horizon\server\views\partials\nav.ejs", "HTML", 0, 0, 0, 50, 0, 0, 0, 0, 5, 0, 55
"d:\horizon\server\views\partials\new_end.ejs", "HTML", 0, 0, 0, 15, 0, 0, 0, 0, 15, 9, 39
"d:\horizon\server\views\partials\new_head.ejs", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 20, 15, 77
"d:\horizon\server\views\partials\news_head.ejs", "HTML", 0, 0, 0, 115, 0, 0, 0, 0, 20, 28, 163
"d:\horizon\server\views\partials\product_head.ejs", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 20, 15, 77
"d:\horizon\server\views\product.ejs", "HTML", 0, 0, 0, 65, 0, 0, 0, 0, 18, 8, 91
"Total", "-", 4468, 8148, 24680, 6261, 33, 3269, 13, 8, 1879, 2581, 51340
