"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Environment Variables", "Shell Script", "Ignore", "XML", "SQL", "Prisma", "Docker", "YAML", "JavaScript React", "comment", "blank", "total"
"d:\horizon\admin\v2\sql\schema.mysql.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 11, 81
"d:\horizon\admin\v2\sql\schema.postgresql.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 10, 74
"d:\horizon\admin\v2\styles\CForm.module.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\horizon\admin\v2\styles\Home.module.css", "CSS", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 25, 208
"d:\horizon\admin\v2\styles\bootstrap-grid.css", "CSS", 0, 0, 0, 3764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 212, 3982
"d:\horizon\admin\v2\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\v2\styles\index.css", "CSS", 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41, 264
"d:\horizon\admin\v2\styles\variables.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 69
"d:\horizon\admin\v2\tracker\index.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36, 179
"d:\horizon\chat\app.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 67
"d:\horizon\chat\config\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\chat\config\passport.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\chat\controllers\socketio.controller.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 61
"d:\horizon\chat\dbconnect.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\horizon\chat\models\Chat.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\horizon\chat\models\Otp.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\chat\models\User.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"d:\horizon\chat\package-lock.json", "JSON", 1378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1379
"d:\horizon\chat\package.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\horizon\chat\public\assets\coming-soon\css\style.css", "CSS", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31, 198
"d:\horizon\chat\public\css\login.css", "CSS", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 99
"d:\horizon\chat\public\css\old_msg.css", "CSS", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"d:\horizon\chat\public\css\style.css", "CSS", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 189
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\css\demo.css", "CSS", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 77
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\css\intlTelInput.css", "CSS", 0, 0, 0, 922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 929
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\css\intlTelInput.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\js\data.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 36
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\js\data.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\js\intlTelInput-jquery.js", "JavaScript", 0, 1079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 282, 1, 1362
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\js\intlTelInput-jquery.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 8
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\js\intlTelInput.js", "JavaScript", 0, 1058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 1, 1333
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\js\intlTelInput.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 8
"d:\horizon\chat\public\intl-tel-input-17.0.0\build\js\utils.js", "JavaScript", 0, 442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 490
"d:\horizon\chat\public\js\chat.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 102
"d:\horizon\chat\public\js\socket.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 9
"d:\horizon\chat\public\pages\index.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 46
"d:\horizon\chat\public\pages\login.html", "HTML", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 121
"d:\horizon\chat\routes\appRoute.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 32, 194
"d:\horizon\chat\socketcheatsheet.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 50
"d:\horizon\chat\views\chats.ejs", "HTML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 59
"d:\horizon\chat\views\login.ejs", "HTML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 68
