"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "CSS", "SCSS", "JavaScript React", "XML", "comment", "blank", "total"
"d:\horizon\server\public\assets\css\blur_cards.css", "CSS", 0, 0, 0, 0, 177, 0, 0, 0, 14, 46, 237
"d:\horizon\server\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\horizon\server\public\assets\css\color-1.css", "CSS", 0, 0, 0, 0, 100, 0, 0, 0, 18, 14, 132
"d:\horizon\server\public\assets\css\contact.css", "CSS", 0, 0, 0, 0, 260, 0, 0, 0, 15, 58, 333
"d:\horizon\server\public\assets\css\contactUtil.css", "CSS", 0, 0, 0, 0, 2824, 0, 0, 0, 71, 89, 2984
"d:\horizon\server\public\assets\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"d:\horizon\server\public\assets\css\lenses.css", "CSS", 0, 0, 0, 0, 307, 0, 0, 0, 5, 66, 378
"d:\horizon\server\public\assets\css\linearicons.css", "CSS", 0, 0, 0, 0, 526, 0, 0, 0, 1, 4, 531
"d:\horizon\server\public\assets\css\lity.min.css", "CSS", 0, 0, 0, 0, 195, 0, 0, 0, 3, 21, 219
"d:\horizon\server\public\assets\css\main.css", "CSS", 0, 0, 0, 0, 1849, 0, 0, 0, 191, 414, 2454
"d:\horizon\server\public\assets\css\mlod.css", "CSS", 0, 0, 0, 0, 58, 0, 0, 0, 1, 5, 64
"d:\horizon\server\public\assets\css\nav\nav.css", "CSS", 0, 0, 0, 0, 137, 0, 0, 0, 2, 18, 157
"d:\horizon\server\public\assets\css\nav\nav.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 0, 12
"d:\horizon\server\public\assets\css\nav\old.nav.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 0, 1, 1, 34
"d:\horizon\server\public\assets\css\news.css", "CSS", 0, 0, 0, 0, 314, 0, 0, 0, 3, 53, 370
"d:\horizon\server\public\assets\css\product_stock_lenses.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 0, 4, 28, 184
"d:\horizon\server\public\assets\css\single-vision.css", "CSS", 0, 0, 0, 0, 496, 0, 0, 0, 2, 76, 574
"d:\horizon\server\public\assets\css\slick-theme.css", "CSS", 0, 0, 0, 0, 170, 0, 0, 0, 4, 31, 205
"d:\horizon\server\public\assets\css\slick.css", "CSS", 0, 0, 0, 0, 87, 0, 0, 0, 1, 27, 115
"d:\horizon\server\public\assets\css\testimonials.css", "CSS", 0, 0, 0, 0, 216, 0, 0, 0, 1, 38, 255
"d:\horizon\server\public\assets\css\timeline.css", "CSS", 0, 0, 0, 0, 235, 0, 0, 0, 0, 37, 272
"d:\horizon\server\public\assets\img\circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 1, 2, 11
"d:\horizon\server\public\assets\js\about\about.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 13, 13, 71
"d:\horizon\server\public\assets\js\aos.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\server\public\assets\js\before_after.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 5, 31
"d:\horizon\server\public\assets\js\bifocal.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\horizon\server\public\assets\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\public\assets\js\contact.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 2, 14, 54
"d:\horizon\server\public\assets\js\jquery-3.3.1.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\horizon\server\public\assets\js\jquery.counterup.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\server\public\assets\js\lity.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 4
"d:\horizon\server\public\assets\js\main.js", "JavaScript", 0, 198, 0, 0, 0, 0, 0, 0, 29, 22, 249
"d:\horizon\server\public\assets\js\mlod.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\public\assets\js\news.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 1, 15
"d:\horizon\server\public\assets\js\popper.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\horizon\server\public\assets\js\product_stock_lenses.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 6
"d:\horizon\server\public\assets\js\showInput.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 11, 15, 29
"d:\horizon\server\public\assets\js\single-vision.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 53
"d:\horizon\server\public\assets\js\slick.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 5
"d:\horizon\server\public\assets\js\testimonials.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\horizon\server\public\assets\js\timeline.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"d:\horizon\server\public\assets\js\waypoints.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\routes\api.routes.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 15, 17, 70
"d:\horizon\server\routes\horizon.routes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 12, 3, 22
"d:\horizon\server\routes\json_html_parser.routes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 4, 13
"d:\horizon\server\routes\user.routes.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 8, 8, 29
"d:\horizon\server\sample.data\demo.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\sample.data\hero.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\sample.data\horizon.sample.data.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"d:\horizon\server\sample.data\landing.sections.model.js", "JavaScript", 0, 273, 0, 0, 0, 0, 0, 0, 1, 2, 276
"d:\horizon\server\schema\schema.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 2, 7, 47
"d:\horizon\server\server-only.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 5, 6, 47
"d:\horizon\server\services\admin.passport.service.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\horizon\server\services\firebase.service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\services\logger.service.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 14, 12, 76
"d:\horizon\server\test-eslint.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"d:\horizon\server\views\0\frontend_parse_json_html.ejs", "HTML", 0, 0, 49, 0, 0, 0, 0, 0, 5, 9, 63
"d:\horizon\server\views\0\news-single-test.ejs", "HTML", 0, 0, 481, 0, 0, 0, 0, 0, 47, 33, 561
"d:\horizon\server\views\0\news-single.html", "HTML", 0, 0, 455, 0, 0, 0, 0, 0, 59, 30, 544
"d:\horizon\server\views\0\news-with-sidebar-one-col-test.ejs", "HTML", 0, 0, 454, 0, 0, 0, 0, 0, 59, 31, 544
"d:\horizon\server\views\0\news-with-sidebar-one-col.html", "HTML", 0, 0, 454, 0, 0, 0, 0, 0, 59, 31, 544
"d:\horizon\server\views\0\news-with-sidebar-test.ejs", "HTML", 0, 0, 454, 0, 0, 0, 0, 0, 60, 32, 546
"d:\horizon\server\views\0\news-with-sidebar.html", "HTML", 0, 0, 454, 0, 0, 0, 0, 0, 60, 32, 546
"d:\horizon\server\views\0\news-without-sidebar-test.ejs", "HTML", 0, 0, 365, 0, 0, 0, 0, 0, 58, 28, 451
"d:\horizon\server\views\0\news-without-sidebar.html", "HTML", 0, 0, 365, 0, 0, 0, 0, 0, 58, 28, 451
"d:\horizon\server\views\404\index.ejs", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 7, 11, 55
